year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2014,3.049153,"Некоммерческая организация ""Иркутский Молодёжный Фонд правозащитников ""Ювента""",Некоммерческий фонд,6,38,Иркутская область,grants
2015,3,"Некоммерческая организация ""Иркутский Молодёжный Фонд правозащитников ""Ювента""",Некоммерческий фонд,6,38,Иркутская область,grants
2013,6,"Санкт-Петербургская общественная организация ""Культурный центр ветеранов и пожилых ""Надежда""",Общественная организация,1,78,Санкт-Петербург,grants
2015,5.610099,"Санкт-Петербургская общественная организация ""Культурный центр ветеранов и пожилых ""Надежда""",Общественная организация,1,78,Санкт-Петербург,grants
2015,11.5648,"Некоммерческое партнерство ""Совет работодателей ""ДР""",Некоммерческое партнерство,5,77,Москва,grants
2013,3,Благотворительный фонд содействия балетного искусства Светланы Захаровой,Некоммерческий фонд,6,77,Москва,grants
2014,5.25,Благотворительный фонд содействия балетного искусства Светланы Захаровой,Некоммерческий фонд,6,77,Москва,grants
2015,1.64,Благотворительный фонд содействия балетного искусства Светланы Захаровой,Некоммерческий фонд,6,77,Москва,grants
2016,1.656,Благотворительный фонд содействия балетного искусства Светланы Захаровой,Некоммерческий фонд,6,77,Москва,grants
2015,6,"Молодежная межрегиональная общественная организация ""МИР"" (""Молодежь-Инициатива-Развитие"")",Общественная организация,1,78,Санкт-Петербург,grants
2016,3,"Молодежная межрегиональная общественная организация ""МИР"" (""Молодежь-Инициатива-Развитие"")",Общественная организация,1,78,Санкт-Петербург,grants
2014,0.828318,"Частное учреждение дополнительного профессионального образования""Городской центр образования""",Учреждение,8,16,Республика Татарстан (Татарстан),grants
2016,1.30957,"Частное учреждение дополнительного профессионального образования""Городской центр образования""",Учреждение,8,16,Республика Татарстан (Татарстан),grants
2014,2.5,"Межрегиональная общественная организация журналистов, освещающих межэтническую тематику ""Гильдия межэтнической журналистики""",Общественная организация,1,77,Москва,grants
2015,6,"Межрегиональная общественная организация журналистов, освещающих межэтническую тематику ""Гильдия межэтнической журналистики""",Общественная организация,1,77,Москва,grants
2016,3,"Межрегиональная общественная организация журналистов, освещающих межэтническую тематику ""Гильдия межэтнической журналистики""",Общественная организация,1,77,Москва,grants
2013,0.7,"Хакасское республиканское отделение Общероссийской общественной организации ""Российский Красный Крест""",Общественная организация,1,19,Республика Хакасия,grants
2015,3,"Региональная общественная организация инвалидов ""ЗДОРОВЬЕ ЧЕЛОВЕКА""",Общественная организация,1,77,Москва,grants
2016,1.8,"Региональная общественная организация инвалидов ""ЗДОРОВЬЕ ЧЕЛОВЕКА""",Общественная организация,1,77,Москва,grants
2014,2.5,"Автономная некоммерческая организация ""Институт миграции и межнациональных отношений""",Автономная некоммерческая организация,4,77,Москва,grants
2015,4.8,"Автономная некоммерческая организация ""Институт миграции и межнациональных отношений""",Автономная некоммерческая организация,4,77,Москва,grants
2016,4,"Автономная некоммерческая организация ""Институт миграции и межнациональных отношений""",Автономная некоммерческая организация,4,77,Москва,grants
2014,5.1854,Российский Фонд развития дополнительного профессионального образования (некоммерческая организация),Некоммерческий фонд,6,77,Москва,grants
2013,2.143964,"Кемеровское региональное отделение Общероссийской общественной организации ""Российский Красный Крест""",Общественная организация,1,42,Кемеровская область,grants
2014,1.49362,"Кемеровское региональное отделение Общероссийской общественной организации ""Российский Красный Крест""",Общественная организация,1,42,Кемеровская область,grants
2015,2.531159,"Кемеровское региональное отделение Общероссийской общественной организации ""Российский Красный Крест""",Общественная организация,1,42,Кемеровская область,grants
2016,3,"Кемеровское региональное отделение Общероссийской общественной организации ""Российский Красный Крест""",Общественная организация,1,42,Кемеровская область,grants
2016,1,"Автономная некоммерческая общеобразовательная организация ""Православная классическая гимназия""",Автономная некоммерческая организация,4,63,Самарская область,grants
2015,0.9,"Межрегиональная общественная организация ""Ассоциация менеджеров""",Общественная организация,1,77,Москва,grants
2013,2.5,"Автономная некоммерческая организация ""Центр социально-трудовых прав""",Автономная некоммерческая организация,4,77,Москва,grants
2014,4,"Автономная некоммерческая организация ""Центр социально-трудовых прав""",Автономная некоммерческая организация,4,77,Москва,grants
2015,2.5,"Автономная некоммерческая организация ""Центр социально-трудовых прав""",Автономная некоммерческая организация,4,77,Москва,grants
2015,1.5,"Автономная некоммерческая организация ""Центр социальной адаптации ""Остров""",Автономная некоммерческая организация,4,77,Москва,grants
2014,6.152305,"Автономная некоммерческая организация Центр ""Аналитик""",Автономная некоммерческая организация,4,66,Свердловская область,grants
2015,4.9,"Автономная некоммерческая организация Центр ""Аналитик""",Автономная некоммерческая организация,4,66,Свердловская область,grants
2014,3,"Международная общественная организация ""Международная Ассоциация ветеранов подразделения антитеррора ""Альфа""",Общественная организация,1,00,Министерство юстиции,grants
2015,3.5,"Международная общественная организация ""Международная Ассоциация ветеранов подразделения антитеррора ""Альфа""",Общественная организация,1,00,Министерство юстиции,grants
2016,4.5,"Международная общественная организация ""Международная Ассоциация ветеранов подразделения антитеррора ""Альфа""",Общественная организация,1,00,Министерство юстиции,grants
2013,4,"Образовательная организация - частное учреждение дополнительного профессионального образования ""Дом знаний""",Учреждение,8,46,Курская область,grants
2014,7,"Образовательная организация - частное учреждение дополнительного профессионального образования ""Дом знаний""",Учреждение,8,46,Курская область,grants
2013,2,"Межрегиональная общественная организация ""Информационно-образовательная Сеть коренных народов ""Льыоравэтльан""",Общественная организация,1,77,Москва,grants
2014,2,"Межрегиональная общественная организация ""Информационно-образовательная Сеть коренных народов ""Льыоравэтльан""",Общественная организация,1,77,Москва,grants
2015,2,"Межрегиональная общественная организация ""Информационно-образовательная Сеть коренных народов ""Льыоравэтльан""",Общественная организация,1,77,Москва,grants
2016,3.5,"Межрегиональная общественная организация ""Информационно-образовательная Сеть коренных народов ""Льыоравэтльан""",Общественная организация,1,77,Москва,grants
2015,10.995,"Тульская областная молодежная волонтерская общественная организация ""Беспокойные сердца""",Общественная организация,1,71,Тульская область,grants
2014,10.989,Фонд социальных инициатив граждан Калининградской области,Некоммерческий фонд,6,39,Калининградская область,grants
2016,2.5,"Автономная некоммерческая организация по реализации социальных программ, направленных на воспитание детей, подростков и молодежи и повышение социальной активности населения ""ДИАЛОГ""",Автономная некоммерческая организация,4,77,Москва,grants
2013,1.34,"Саратовский региональный общественный фонд поддержки гражданских инициатив ""Общество и право""",Некоммерческий фонд,6,64,Саратовская область,grants
2014,2.080212,"Саратовский региональный общественный фонд поддержки гражданских инициатив ""Общество и право""",Некоммерческий фонд,6,64,Саратовская область,grants
2015,1.883731,"Саратовский региональный общественный фонд поддержки гражданских инициатив ""Общество и право""",Некоммерческий фонд,6,64,Саратовская область,grants
2016,3.066836,"Саратовский региональный общественный фонд поддержки гражданских инициатив ""Общество и право""",Некоммерческий фонд,6,64,Саратовская область,grants
2015,5,"Автономная некоммерческая организация поддержки и развития деятельности в области кинематографа и театрального искусства ""ТЕТРАМОРФ""",Автономная некоммерческая организация,4,78,Санкт-Петербург,grants
2016,5.2,"Автономная некоммерческая организация поддержки и развития деятельности в области кинематографа и театрального искусства ""ТЕТРАМОРФ""",Автономная некоммерческая организация,4,78,Санкт-Петербург,grants
2015,2.5,"Ассоциация детских и молодежных общественных объединений Рязанской области ""Молодежный совет""",Союз (ассоциация) общественных объединений,20,62,Рязанская область,grants
2013,3.25,"Медицинское учреждение ""Детский хоспис""",Учреждение,8,78,Санкт-Петербург,grants
2014,3.633586,"Медицинское учреждение ""Детский хоспис""",Учреждение,8,78,Санкт-Петербург,grants
2014,1.8,"Общероссийский союз общественных объединений ""РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ПОДГОТОВИТЕЛЬНЫЙ КОМИТЕТ ВСЕМИРНЫХ ФЕСТИВАЛЕЙ МОЛОДЕЖИ И СТУДЕНТОВ""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2016,9,"Общероссийский союз общественных объединений ""РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ПОДГОТОВИТЕЛЬНЫЙ КОМИТЕТ ВСЕМИРНЫХ ФЕСТИВАЛЕЙ МОЛОДЕЖИ И СТУДЕНТОВ""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2013,1.8,"Негосударственное образовательное учреждение организация высшего образования ""Российская академия адвокатуры и нотариата""",Учреждение,8,77,Москва,grants
2014,2.5,"Автономная некоммерческая организация ""Центр проблем аутизма: образование, исследования, помощь, защита прав""",Автономная некоммерческая организация,4,77,Москва,grants
2015,3,"Автономная некоммерческая организация ""Центр проблем аутизма: образование, исследования, помощь, защита прав""",Автономная некоммерческая организация,4,77,Москва,grants
2016,4,"Автономная некоммерческая организация ""Центр проблем аутизма: образование, исследования, помощь, защита прав""",Автономная некоммерческая организация,4,77,Москва,grants
2016,2.5,"Некоммерческий фонд развития современных интеграционных технологий в области культуры, образования и науки ""Международные интеграционные технологии""",Некоммерческий фонд,6,77,Москва,grants
2013,1,"Благотворительный фонд ""Центр содействия устойчивому развитию гражданского общества""",Некоммерческий фонд,6,77,Москва,grants
2014,3.644,"Благотворительный фонд ""Центр содействия устойчивому развитию гражданского общества""",Некоммерческий фонд,6,77,Москва,grants
2015,4,"Благотворительный фонд ""Центр содействия устойчивому развитию гражданского общества""",Некоммерческий фонд,6,77,Москва,grants
