year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2016,21.7627,Частное учреждение «Издательско-полиграфическое объединение «Чтение» Общероссийской общественной организации инвалидов «Всероссийское ордена Трудового Красного Знамени общество слепых»,Учреждение,8,78,Санкт-Петербург,subsidies
2014,75,"Автономная некоммерческая организация по финансированию строительства и реконструкции объектов культурного и религиозного значения ""Арктический Собор""",Автономная некоммерческая организация,4,29,Архангельская область,subsidies
2014,75,"Автономная некоммерческая организация ""Архитектурно-строительный центр Бердо""",Автономная некоммерческая организация,4,26,Ставропольский край,subsidies
2014,75,"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ПРЕДОСТАВЛЕНИЮ УСЛУГ В СФЕРЕ ФИНАНСИРОВАНИЯ СТРОИТЕЛЬСТВА, РЕМОНТА, РЕКОНСТРУКЦИИ, РЕСТАВРАЦИИ И СОХРАНЕНИЯ ЗДАНИЙ, СТРОЕНИЙ И СООРУЖЕНИЙ ""ВОЗРОЖДЕНИЕ""",Автономная некоммерческая организация,4,38,Иркутская область,subsidies
2015,74,"Автономная некоммерческая организация ""Центр церковного строительства ""Созидатель""",Автономная некоммерческая организация,4,42,Кемеровская область,subsidies
2015,10.00170043,"Общероссийская общественная организация ""Всероссийское добровольное пожарное общество""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,25,"Общероссийская общественная организация ""Всероссийское добровольное пожарное общество""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,37.182125,"Общероссийская общественная организация ""Всероссийское добровольное пожарное общество""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,35.5361,"Автономная некоммерческая образовательная организация высшего образования ""Сахалинский гуманитарно - технологический институт""",Учреждение,8,65,Сахалинская область,subsidies
2017,37.1883,"Автономная некоммерческая образовательная организация высшего образования ""Сахалинский гуманитарно - технологический институт""",Учреждение,8,65,Сахалинская область,subsidies
2014,39.3523,"Автономная некоммерческая организация ""Творческая   студия ""СТЕЛЛА""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,0.5,"Союз издателей ""ГИПП""","Объединения (союз, ассоциация) юридических лиц",10,77,Москва,subsidies
2015,0.5,"Союз издателей ""ГИПП""","Объединения (союз, ассоциация) юридических лиц",10,77,Москва,subsidies
2016,0.5,"Союз издателей ""ГИПП""","Объединения (союз, ассоциация) юридических лиц",10,77,Москва,subsidies
2015,9,"Негосударственное частное учреждение культуры ""Концертная компания Премьера""",Учреждение,8,77,Москва,subsidies
2016,5.9346,"Автономная некоммерческая организация ""Редакция ""Литературной газеты""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,30,"Автономная некоммерческая организация ""Владикавказский духовно - просветительский центр """,Автономная некоммерческая организация,4,15,Республика Северная Осетия - Алания,subsidies
2015,40,"Автономная некоммерческая организация ""Владикавказский духовно - просветительский центр """,Автономная некоммерческая организация,4,15,Республика Северная Осетия - Алания,subsidies
2014,8.48,"Общероссийская общественная организация ""Союз архитекторов России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,9.716,"Общероссийская общественная организация ""Союз архитекторов России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,6.735822,"Общероссийская общественная организация ""Союз архитекторов России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,3,"Войсковое казачье общество ""Центральное казачье войско""",Казачье общество,14,77,Москва,subsidies
2017,3,"Войсковое казачье общество ""Центральное казачье войско""",Казачье общество,14,77,Москва,subsidies
2014,0.0804,"Образовательная организация высшего образования (частное учреждение) ""Международная академия бизнеса и новых технологий (МУБиНТ)""",Учреждение,8,76,Ярославская область,subsidies
2015,0.0264,"Образовательная организация высшего образования (частное учреждение) ""Международная академия бизнеса и новых технологий (МУБиНТ)""",Учреждение,8,76,Ярославская область,subsidies
2016,0.0176,"Образовательная организация высшего образования (частное учреждение) ""Международная академия бизнеса и новых технологий (МУБиНТ)""",Учреждение,8,76,Ярославская область,subsidies
2014,47.1,"Некоммерческое партнерство ""Международная федерация балетных конкурсов""",Некоммерческое партнерство,5,77,Москва,subsidies
2016,4.9,"Некоммерческое партнерство ""Международная федерация балетных конкурсов""",Некоммерческое партнерство,5,77,Москва,subsidies
2014,29.9074,"Автономная некоммерческая организация ""Редакция журнала ""Российская Федерация сегодня""",Автономная некоммерческая организация,4,77,Москва,subsidies
2015,24.04784,"Автономная некоммерческая организация ""Редакция журнала ""Российская Федерация сегодня""",Автономная некоммерческая организация,4,77,Москва,subsidies
2014,18.05,"Общероссийская общественная организация ""Всероссийская Федерация спорта лиц с поражением опорно-двигательного аппарата""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,18.05,"Общероссийская общественная организация ""Всероссийская Федерация спорта лиц с поражением опорно-двигательного аппарата""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,14.4647,"Общероссийская общественная организация ""Всероссийская Федерация спорта лиц с поражением опорно-двигательного аппарата""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,13.5968,"Общероссийская общественная организация ""Всероссийская Федерация спорта лиц с поражением опорно-двигательного аппарата""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,64,"Автономная некоммерческая организация по развитию и поддержки строительства и реконструкции ""ЗОДЧИЙ"" религиозной организации ""Тихорецкая Епархия Русской Православной Церкви (Московский Патриархат)""",Автономная некоммерческая организация,4,23,Краснодарский край,subsidies
2015,6.6,"Автономная некоммерческая организация развития исполнительского искусства ""Мастерская звезд""",Автономная некоммерческая организация,4,77,Москва,subsidies
