year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2013,4,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,grants
2014,3.5,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,grants
2015,8.036935,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,grants
2016,4,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""",Учреждение,8,78,Санкт-Петербург,grants
2015,10,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,grants
2016,20,"Автономная некоммерческая организация ""Фестиваль ""Золотая маска""",Автономная некоммерческая организация,4,77,Москва,grants
2013,1.52381,"Благотворительный фонд поддержки семьи , материнства и детства ""ПОКРОВ""",Некоммерческий фонд,6,58,Пензенская область,grants
2015,5.5,"Благотворительный фонд поддержки семьи , материнства и детства ""ПОКРОВ""",Некоммерческий фонд,6,58,Пензенская область,grants
2016,3.5,"Частное образовательное учреждение дополнительного профессионального образования ""Центр реабилитации слепых"" Общероссийской общественной организации инвалидов ""Всероссийское ордена Трудового Красного Знамени общество слепых""",Учреждение,8,50,Московская область,grants
2014,3.947285,"Фонд ""Центр политических технологий""",Некоммерческий фонд,6,77,Москва,grants
2013,3,"Негосударственное образовательное частное учреждение высшего профессионального образования Национальный институт ""Высшая школа управления""",Учреждение,8,77,Москва,grants
2016,4,"Некоммерческое партнерство ""Национальный центр общественного контроля в сфере жилищно-коммунального хозяйства ""ЖКХ Контроль""",Некоммерческое партнерство,5,77,Москва,grants
2015,3.5,"Благотворительный фонд ""Народная певческая культура""",Некоммерческий фонд,6,77,Москва,grants
2016,2.5,"Благотворительный фонд ""Народная певческая культура""",Некоммерческий фонд,6,77,Москва,grants
2013,9.5,"Общероссийский союз ""Федерация Независимых Профсоюзов России""",Профессиональный союз,2,00,Министерство юстиции,grants
2014,4,"Общероссийский союз ""Федерация Независимых Профсоюзов России""",Профессиональный союз,2,00,Министерство юстиции,grants
2016,3.5,"Общероссийский союз ""Федерация Независимых Профсоюзов России""",Профессиональный союз,2,00,Министерство юстиции,grants
2016,2,"Некоммерческое партнерство ""РОССИЙСКИЙ КНИЖНЫЙ СОЮЗ""",Некоммерческое партнерство,5,77,Москва,grants
2014,4.397245,"Автономная некоммерческая организация Междисциплинарный академический центр социальных наук ""Интерцентр""",Автономная некоммерческая организация,4,77,Москва,grants
2014,14,"Всероссийская общественная организация ветеранов ""БОЕВОЕ БРАТСТВО""",Общественная организация,1,00,Министерство юстиции,grants
2015,13,"Всероссийская общественная организация ветеранов ""БОЕВОЕ БРАТСТВО""",Общественная организация,1,00,Министерство юстиции,grants
2016,3,"Всероссийская общественная организация ветеранов ""БОЕВОЕ БРАТСТВО""",Общественная организация,1,00,Министерство юстиции,grants
2016,4,"Всероссийская творческая общественная организация ""Союз художников России""",Общественная организация,1,00,Министерство юстиции,grants
2013,2.9,"Частное образовательное учреждение высшего образования ""Казанский инновационный университет имени В.Г. Тимирясова (ИЭУП)""",Учреждение,8,16,Республика Татарстан (Татарстан),grants
2013,2.03422,"Общероссийский общественный фонд ""Общественное мнение""",Общественный фонд,11,00,Министерство юстиции,grants
2015,5.5,"Автономная некоммерческая организация ""Московская дирекция фестивально-концертных проектов авторской песни ""Стольный Град""",Автономная некоммерческая организация,4,77,Москва,grants
2016,5.4345,"Автономная некоммерческая организация ""Московская дирекция фестивально-концертных проектов авторской песни ""Стольный Град""",Автономная некоммерческая организация,4,77,Москва,grants
2014,3.0996,"Учреждение дополнительного образования споритивно-оздоровительный центр ""Бассейны Дона""",Учреждение,8,61,Ростовская область,grants
2015,2,"Учреждение дополнительного образования споритивно-оздоровительный центр ""Бассейны Дона""",Учреждение,8,61,Ростовская область,grants
2015,1,"Частное учреждение здравоохранения ""Марфо-Мариинский медицинский центр ""Милосердие""",Учреждение,8,77,Москва,grants
2015,9.8,"Негосударственное частное учреждение культуры ""Лига Артист""",Учреждение,8,77,Москва,grants
2016,9.5,"Негосударственное частное учреждение культуры ""Лига Артист""",Учреждение,8,77,Москва,grants
2013,2,"Всероссийская общественная организация ""Всероссийское общество охраны памятников истории и культуры""",Общественная организация,1,00,Министерство юстиции,grants
2015,1.5,"Всероссийская общественная организация ""Всероссийское общество охраны памятников истории и культуры""",Общественная организация,1,00,Министерство юстиции,grants
2016,4,"Автономная некоммерческая организация дополнительного профессионального образования ""Международный институт менеджмента объединений предпринимателей""",Автономная некоммерческая организация,4,77,Москва,grants
2015,3,"Автономная некоммерческая организация ""Инновационный  научно-правовой центр""",Автономная некоммерческая организация,4,77,Москва,grants
2013,7,"Общероссийская общественная организация ""Ассоциация юристов России""",Общественная организация,1,00,Министерство юстиции,grants
2014,10.013,"Общероссийская общественная организация ""Ассоциация юристов России""",Общественная организация,1,00,Министерство юстиции,grants
2016,3,"Общероссийская общественная организация ""Ассоциация юристов России""",Общественная организация,1,00,Министерство юстиции,grants
2014,1,"Всероссийская общественная организация ""Объединение людей, живущих с ВИЧ""",Общественная организация,1,00,Министерство юстиции,grants
2014,2.5,"Общероссийская общественная организация ветеранов ""Российский Союз Ветеранов""",Общественная организация,1,00,Министерство юстиции,grants
2015,2.251,"Общероссийская общественная организация ветеранов ""Российский Союз Ветеранов""",Общественная организация,1,00,Министерство юстиции,grants
2016,5.0645,"Общероссийская общественная организация ветеранов ""Российский Союз Ветеранов""",Общественная организация,1,00,Министерство юстиции,grants
2013,2,"Некоммерческое партнерство содействия реализации общенациональной программы ""В кругу семьи""",Некоммерческое партнерство,5,77,Москва,grants
2013,2.5,"Международная ассоциация организаций осуществляющих деятельность по противодействию незаконному обороту контрафактной продукции ""Антиконтрафакт""","Объединения (союз, ассоциация) юридических лиц",10,77,Москва,grants
2015,21.081142,"Частное образовательное учреждение ""КЛАСС. Тренинг. Коучинг. Консалтинг""",Учреждение,8,77,Москва,grants
2013,3,"Общероссийское общественное движение ""Россия Молодая""",Общественное движение,13,00,Министерство юстиции,grants
2014,4,"Автономная некоммерческая организация ""Культурно-просветительский центр ""Люди""",Автономная некоммерческая организация,4,77,Москва,grants
2015,5,"Автономная некоммерческая организация ""Культурно-просветительский центр ""Люди""",Автономная некоммерческая организация,4,77,Москва,grants
2016,5,"Автономная некоммерческая организация ""Культурно-просветительский центр ""Люди""",Автономная некоммерческая организация,4,77,Москва,grants
2015,4,"Негосударственное частное учреждение культуры ""Концертная компания Премьера""",Учреждение,8,77,Москва,grants
2016,5,"Негосударственное частное учреждение культуры ""Концертная компания Премьера""",Учреждение,8,77,Москва,grants
2013,19.1,"Автономная некоммерческая организация ""Редакция ""Литературной газеты""",Автономная некоммерческая организация,4,77,Москва,grants
2014,12.144,"Автономная некоммерческая организация ""Редакция ""Литературной газеты""",Автономная некоммерческая организация,4,77,Москва,grants
2015,13.005417,"Автономная некоммерческая организация ""Редакция ""Литературной газеты""",Автономная некоммерческая организация,4,77,Москва,grants
2016,7.86386,"Автономная некоммерческая организация ""Редакция ""Литературной газеты""",Автономная некоммерческая организация,4,77,Москва,grants
2014,1.9,"Фонд содействия охране окружающей среды ""Природа""",Некоммерческий фонд,6,77,Москва,grants
2014,0.6065,"Автономная некоммерческая организация ""Центр эффективных технологий образования""",Автономная некоммерческая организация,4,77,Москва,grants
2013,1.5,"Автономная некоммерческая организация ""Агентство молодежной информации""",Автономная некоммерческая организация,4,77,Москва,grants
2014,6.5,"Автономная некоммерческая организация ""Агентство молодежной информации""",Автономная некоммерческая организация,4,77,Москва,grants
2015,3.991653,"Автономная некоммерческая организация ""Агентство молодежной информации""",Автономная некоммерческая организация,4,77,Москва,grants
2016,1.528196,"Общественная организация ""Тюменская областная общественная организация Общероссийской общественной организации ""Всероссийское общество инвалидов"" (ВОИ)",Общественная организация,1,72,Тюменская область,grants
2016,20,"Региональный общественный фонд поддержки ""Международного театрального фестиваля имени А.П. Чехова""",Общественный фонд,11,77,Москва,grants
2016,3.5,"Автономная некоммерческая организация высшего образования ""Институт непрерывного образования""",Автономная некоммерческая организация,4,77,Москва,grants
